Image Name,Generated Caption,Output Path
000001.jpg,"The image shows a person with long, straight, light brown hair, wearing a small earring. The person has a neutral expression, with a slight smile. The face is positioned slightly to the right",./output_image_2-2/000001.jpg
000002.jpg,"The image shows a person with red hair styled in a high bun, wearing a light-colored top. They have a slight smile, light makeup, and are looking slightly to the side.",./output_image_2-2/000002.jpg
000003.jpg,"The image shows a person with short, dark hair, a slight smile, and a light complexion. The person is wearing a dark-colored shirt and has a visible earring. The face is slightly tilted",./output_image_2-2/000003.jpg
000004.jpg,"The image shows a person with dark hair styled in a braid, wearing a black top. They have a serious expression, with one eyebrow slightly raised. The person is wearing a necklace and earrings. The",./output_image_2-2/000004.jpg
000005.jpg,"The image shows a person with short, styled hair, a neutral expression, and a slight smile. The face is centered, and the background is a light blue with white letters.",./output_image_2-2/000005.jpg
000006.jpg,"The image shows a person with a wavy hairstyle, light brown hair, and a serious expression. They have dark eyes, prominent eyebrows, and are wearing minimal makeup. The face is slightly tilted,",./output_image_2-2/000006.jpg
000007.jpg,"The image shows a person with short, dark, spiky hair, a slight smile, and a neutral expression. They are wearing a gray shirt and have a slight stubble. The face is centered",./output_image_2-2/000007.jpg
000008.jpg,"The image shows a person with short, dark hair, a serious expression, and a slight smile. They are wearing a black suit jacket and a white shirt. The background is black with white text.",./output_image_2-2/000008.jpg
000009.jpg,"The image shows a person with long, dark hair styled in a high ponytail, bangs covering the forehead, and a slight smile. They are wearing gold earrings and a patterned scarf. The face is",./output_image_2-2/000009.jpg
000010.jpg,"Blonde woman with blue eyes, wavy hair, subtle makeup, slight smile, red dress, dark background, natural lighting.",./output_image_2-2/000010.jpg
000011.jpg,"The image shows a person with long, dark hair, a serious expression, and a slight smile. They are wearing a dark top and have a mole on their cheek. The face is centered in the",./output_image_2-2/000011.jpg
000012.jpg,"The image shows a person with short, dark hair, a slight smile, and a light complexion. They are wearing a dark suit jacket and a white shirt. The background is dark.",./output_image_2-2/000012.jpg
000013.jpg,"The image shows a person with short, light-colored hair, a slight smile, and a neutral expression. They are wearing a green and yellow sports jacket. The face is centered in the image, with",./output_image_2-2/000013.jpg
000014.jpg,"The image shows a person with short, curly hair, a small mole on the left cheek, and a slight smile. They are wearing a gold necklace and a black top. The face is centered in",./output_image_2-2/000014.jpg
000015.jpg,"The image shows a person with short, dark hair, a slight smile, and a serious expression. They are wearing a blue suit, white shirt, and black tie. The background is blurred.",./output_image_2-2/000015.jpg
000016.jpg,"The image shows a man with short, dark hair, a slight smile, and a light stubble beard. He is wearing a dark shirt and has a slight smile. The background is blurred, and",./output_image_2-2/000016.jpg
000017.jpg,"The image shows a person with dark hair tied back, a neutral expression, and a medal on their right ear. The face is centered in the image.",./output_image_2-2/000017.jpg
000018.jpg,"Blonde woman with light makeup, smiling, leopard print scarf, earrings, wavy hair, white background, right side of face visible.",./output_image_2-2/000018.jpg
000019.jpg,"Blonde hair, neutral expression, no visible accessories, face centered, natural lighting.",./output_image_2-2/000019.jpg
000020.jpg,"The person has long, wavy hair, a beard, and a mustache. They are wearing a plaid shirt. The face is slightly tilted, and the background is dark.",./output_image_2-2/000020.jpg
000021.jpg,"The image shows a person with short, light brown hair, wearing a dark suit and tie. The person has a slight smile, is looking slightly to the side, and is positioned in a formal setting",./output_image_2-2/000021.jpg
000022.jpg,"Blonde woman with blue eyes, light makeup, wavy hair, slight smile, green top, left side of face visible, head slightly tilted.",./output_image_2-2/000022.jpg
000023.jpg,"The image shows a person with short, dark hair, a slight smile, and a clean-shaven face. They are wearing a blue and yellow racing suit with a logo on the chest. The background",./output_image_2-2/000023.jpg
000024.jpg,"Blonde hair, light makeup, slight smile, earrings, blue and orange background, left side of face.",./output_image_2-2/000024.jpg
