Image Name,Generated Caption,224x224 Image Path
000001.jpg,"The image shows a person with long, straight, light brown hair, wearing a small earring. The person has a neutral expression, with a slight smile. The",./experiments/prompt_1/000001.jpg
000002.jpg,"The image shows a person with red hair styled in a high bun, wearing a light-colored top. They have a slight smile, light makeup, and are",./experiments/prompt_1/000002.jpg
000003.jpg,"The image shows a person with short, dark hair, a slight smile, and a light complexion. The person is wearing a dark-colored shirt and has a",./experiments/prompt_1/000003.jpg
000004.jpg,"The image shows a person with dark hair styled in a braid, wearing a black top. They have a serious expression, with one eyebrow slightly raised. The person",./experiments/prompt_1/000004.jpg
000005.jpg,"The image shows a person with short, styled hair, a neutral expression, and a slight smile. The face is centered, and the background is a light blue",./experiments/prompt_1/000005.jpg
000006.jpg,"The image shows a person with a wavy hairstyle, light brown hair, and a serious expression. They have dark eyes, prominent eyebrows, and are wearing minimal",./experiments/prompt_1/000006.jpg
000007.jpg,"The image shows a person with short, dark, spiky hair, a slight smile, and a neutral expression. They are wearing a gray shirt and have a",./experiments/prompt_1/000007.jpg
000008.jpg,"The image shows a person with short, dark hair, a serious expression, and a slight smile. They are wearing a black suit jacket and a white shirt.",./experiments/prompt_1/000008.jpg
000009.jpg,"The image shows a person with long, dark hair styled in a high ponytail, bangs covering the forehead, and a slight smile. They are wearing gold earrings and",./experiments/prompt_1/000009.jpg
000010.jpg,"Blonde woman with blue eyes, wavy hair, subtle makeup, slight smile, red dress, dark background, natural lighting.",./experiments/prompt_1/000010.jpg
000011.jpg,"The image shows a person with long, dark hair, a serious expression, and a slight smile. They are wearing a dark top and have a mole on their",./experiments/prompt_1/000011.jpg
000012.jpg,"The image shows a person with short, dark hair, a slight smile, and a light complexion. They are wearing a dark suit jacket and a white shirt.",./experiments/prompt_1/000012.jpg
000013.jpg,"The image shows a person with short, light-colored hair, a slight smile, and a neutral expression. They are wearing a green and yellow sports jacket.",./experiments/prompt_1/000013.jpg
000014.jpg,"The image shows a person with short, curly hair, a small mole on the left cheek, and a slight smile. They are wearing a gold necklace and a",./experiments/prompt_1/000014.jpg
000015.jpg,"The image shows a person with short, dark hair, a slight smile, and a serious expression. They are wearing a blue suit, white shirt, and black",./experiments/prompt_1/000015.jpg
000016.jpg,"The image shows a man with short, dark hair, a slight smile, and a light stubble beard. He is wearing a dark shirt and has a slight",./experiments/prompt_1/000016.jpg
000017.jpg,"The image shows a person with dark hair tied back, a neutral expression, and a medal on their right ear. The face is centered in the image.",./experiments/prompt_1/000017.jpg
000018.jpg,"Blonde woman with light makeup, smiling, leopard print scarf, earrings, wavy hair, white background, right side of face visible.",./experiments/prompt_1/000018.jpg
000019.jpg,"Blonde hair, neutral expression, no visible accessories, face centered, natural lighting.",./experiments/prompt_1/000019.jpg
