Image Name,Generated Caption,224x224 Image Path
000001.jpg,"The image shows a person with long, straight hair that is light brown in color. The hair is parted in the middle and falls over the shoulders. The person is wearing a pair of earrings, and the background appears to be a beige or light brown",./experiments/prompt_0/000001.jpg
000002.jpg,"The image shows a person with red hair, wearing a light-colored top with a pattern. The background is blurred, suggesting an outdoor setting with some indistinct figures and possibly buildings.",./experiments/prompt_0/000002.jpg
000003.jpg,"The image shows a person with short, dark hair, wearing a dark-colored shirt. The background appears to be outdoors with a blurred natural setting.",./experiments/prompt_0/000003.jpg
000004.jpg,"The image shows a person with dark hair, wearing a black top. The background is dark, making it difficult to discern any specific details.",./experiments/prompt_0/000004.jpg
000005.jpg,"The image shows a person with a hairstyle that appears to be a modern, possibly 1960s-inspired style. The hair is styled upwards and slightly to the side, with a smooth, sleek appearance. The background is a solid light blue color with",./experiments/prompt_0/000005.jpg
000006.jpg,The image shows a person with a blurred face. The visible part of the hair is styled in loose curls.,./experiments/prompt_0/000006.jpg
000007.jpg,"The image shows a person with short, dark hair and a slight stubble. The person is wearing a gray shirt and is standing in front of a background with a logo that appears to be the MTV logo.",./experiments/prompt_0/000007.jpg
000008.jpg,"The image shows a man with dark hair, wearing a black suit with a white shirt. He has a serious expression on his face. The background is black with some text in white and pink. The text is partially visible and reads 'THE' and",./experiments/prompt_0/000008.jpg
000009.jpg,"The image shows a person with a blurred face, wearing a patterned top with a mix of colors including blue, yellow, and white. The person has long, dark hair styled in a high ponytail with bangs. The background is a plain, light",./experiments/prompt_0/000009.jpg
000010.jpg,"The image shows a person with blonde hair, wearing a red top. The background is dark with some light spots, possibly indicating a stage or event setting.",./experiments/prompt_0/000010.jpg
000011.jpg,"The image shows a person with long, dark hair. The background is plain and light-colored.",./experiments/prompt_0/000011.jpg
000012.jpg,"The image shows a person wearing a dark suit with a white shirt. The background is dark, and the person is smiling.",./experiments/prompt_0/000012.jpg
000013.jpg,"The image shows a person with short, blonde hair wearing a green and yellow sports jacket. The background appears to be an outdoor setting with some indistinct objects.",./experiments/prompt_0/000013.jpg
000014.jpg,"The image shows a person with their face blurred out. The person is wearing a black top and a gold necklace. The background appears to be an indoor setting with a light source coming from the left side, possibly a lamp or a wall-mounted light.",./experiments/prompt_0/000014.jpg
000015.jpg,"The image shows a man with short, dark hair styled upwards. He is wearing a blue suit with a white shirt and a dark tie. The background is blurred, but it appears to be an outdoor setting with some structures visible.",./experiments/prompt_0/000015.jpg
000016.jpg,"A man with short, dark hair and a slight smile is looking directly at the camera. He appears to be indoors, with a blurred background that suggests a public or semi-public space.",./experiments/prompt_0/000016.jpg
000017.jpg,A person holding a medal.,./experiments/prompt_0/000017.jpg
000018.jpg,The image shows a person with blonde hair wearing a leopard print scarf and earrings. The background is white with some text partially visible.,./experiments/prompt_0/000018.jpg
000019.jpg,"The image shows a person with long, wavy blonde hair. The background appears to be outdoors with some greenery.",./experiments/prompt_0/000019.jpg
000020.jpg,"The image shows a person with long, wavy hair and a beard. The person is wearing a dark-colored shirt with a pattern. The background is dark, and the person appears to be in a stage or performance setting.",./experiments/prompt_0/000020.jpg
000021.jpg,"A man in a suit with a tie, sitting in front of a blue background.",./experiments/prompt_0/000021.jpg
000022.jpg,The image shows a person with blonde hair wearing a bright yellow top. The background is plain and light-colored.,./experiments/prompt_0/000022.jpg
000023.jpg,"The image shows a person with short, dark hair, wearing a blue and yellow racing suit. The background is blurred with some blue and pink colors.",./experiments/prompt_0/000023.jpg
000024.jpg,The image shows a person with blonde hair. The background is a mix of blue and orange colors. The person is wearing a sleeveless top.,./experiments/prompt_0/000024.jpg
000025.jpg,"A man with short hair and a serious expression is looking directly at the camera. He is wearing a dark jacket over a light-colored shirt. The background is a plain, textured wall.",./experiments/prompt_0/000025.jpg
000026.jpg,A person is standing against a wall with some red marks on it. The person is wearing a white shirt. There are buildings in the background.,./experiments/prompt_0/000026.jpg
000027.jpg,"The image shows a person with long, dark hair. The hair is styled in a way that it falls over the shoulders. The person is wearing a red top. The background is a plain, dark color.",./experiments/prompt_0/000027.jpg
000028.jpg,"The image shows a person with shoulder-length, wavy hair. The background is a gradient of light colors, possibly indicating a soft, pastel theme. The person is wearing a purple top.",./experiments/prompt_0/000028.jpg
000029.jpg,The image shows a person with blonde hair wearing a black outfit. The background includes a logo with the text 'M' and 'MGM' in orange and white colors.,./experiments/prompt_0/000029.jpg
000030.jpg,"The image shows a person with short, light-colored hair, wearing a dark-colored shirt. The background appears to be a wooden wall.",./experiments/prompt_0/000030.jpg
000031.jpg,A person is shown in the image.,./experiments/prompt_0/000031.jpg
000032.jpg,"The image shows a person with short, light-colored hair wearing a dark suit, white shirt, and red tie. The background is blue with some text and logos partially visible.",./experiments/prompt_0/000032.jpg
000033.jpg,"The image shows a man with short, dark hair and a slight smile. He is wearing a black suit jacket over a white shirt. The background appears to be a dark, possibly black, backdrop with some text and a palm tree design.",./experiments/prompt_0/000033.jpg
